timestamp,symbol,direction,module,rv,adx,adr_pct,hist,lgbm_signal,lgbm_conf,gpt_signal,gpt_conf,gpt_reasoning,agreement
2026-06-08T17:15:36.494863+00:00,AUDNZD,SELL,STD,-19.42,32.2,50.6,RED_LIGHT,SELL,96,SELL,68,"Histogram RED_LIGHT e Momentum negativo indicano pressione ribassista, RV negativo ma non estremo, ADX ~32 conferma una tendenza presente ma non molto forte, ADR al 50.6% lascia spazio al movimento; quindi SELL è coerente ma non estremamente robusto.",SAME
2026-06-08T20:00:35.680052+00:00,USDCAD,BUY,STD,6.31,21.7,61.8,GREEN_LIGHT,BUY,20,HOLD,48,"La tendenza non è robusta: RV 6.31 e ADX 21.7 indicano trend debole e potenziale range, nonostante momentum positivo e histogram verde; ADR% indica spazio residuo ma non una conferma di breakout.",DIFF
2026-06-08T20:45:21.935654+00:00,AUDNZD,SELL,STD,-16.29,18.7,50.6,RED_LIGHT,SELL,7,HOLD,0,The read operation timed out,DIFF
2026-06-08T21:00:39.751574+00:00,USDCAD,BUY,STD,6.74,18.1,1.8,GREEN_LIGHT,BUY,18,HOLD,46,"Momentum positivo e Histogram GREEN_LIGHT indicano impulso rialzista a breve termine, ma ADX 18.1 e RV 6.74 indicano mancanza di tendenza chiara; ADR% suggerisce spazio per muoversi, quindi la configurazione è ambigua.",DIFF
2026-06-08T21:00:49.253326+00:00,AUDUSD,SELL,STD,-9.21,22.4,0.0,RED_LIGHT,SELL,12,HOLD,45,"Bearish signals (RV negativo, Histogram RED_LIGHT, Momentum negativo) sono presenti ma ADX basso e ADR% 0 suggeriscono mancanza di tendenza/volatilità sufficiente per una conferma.",DIFF
2026-06-08T22:00:40.214790+00:00,CADCHF,BUY,STD,4.85,29.4,24.2,GREEN_DARK,BUY,20,HOLD,40,"Segnali contrastanti: Histogram GREEN_DARK indica potenziale rialzo, ma Normalized Momentum negativo e ADX<40 mostrano trend debole/incerto; RV modesto e ADR% non confermano una tendenza chiara, quindi HOLD.",DIFF
2026-06-08T22:00:50.081866+00:00,GBPCHF,BUY,STD,5.08,36.9,22.6,GREEN_DARK,BUY,20,HOLD,45,"RV modesto (5.08) non conferma una direzione forte, momentum normalizzato negativo (-0.2355) contrasta l'istogramma bullish e ADX moderato (~37) rendono l'entry ambigua; ADR% basso lascia spazio ma non garantisce breakout.",DIFF
2026-06-08T22:00:54.526702+00:00,CHFJPY,SELL,STD,-6.19,36.2,16.0,RED_DARK,SELL,17,SELL,62,"Vendita potenziale: momentum ribassista confermato da Histogram RED_DARK e Momentum -0.7596, ADX moderato, RV debole (-6.19) e ADR% basso che lascia spazio, quindi segnale SELL con affidabilità moderata.",SAME
2026-06-08T22:01:06.533738+00:00,USDCHF,BUY,STD,3.89,19.1,6.8,GREEN_DARK,BUY,18,HOLD,0,The read operation timed out,DIFF
2026-06-08T22:01:11.234124+00:00,GBPAUD,BUY,STD,12.85,30.0,25.0,GREEN_DARK,BUY,20,BUY,60,"Momentum positivo e histogram bullish indicano potenziale rialzista, ADR% a 25% lascia spazio per estensione, ma Radar Value modesto e ADX a 30 indicano forza di trend non elevata, quindi conferma moderata.",SAME
2026-06-08T22:01:22.539839+00:00,AUDCAD,SELL,STD,-12.61,50.2,25.9,RED_DARK,SELL,6,HOLD,0,The read operation timed out,DIFF
2026-06-08T22:01:26.665393+00:00,AUDUSD,SELL,STD,-11.66,27.3,7.5,RED_DARK,SELL,17,SELL,60,"Bearish momentum (-0.7521) e Histogram RED_DARK indicano pressione ribassista, RV negativo ma non estremo (-11.66) con ADX a 27.3 che segnala tendenza presente ma moderata; ADR% al 7.5% indica ampio spazio residuo per movimenti ribassisti.",SAME
2026-06-08T22:01:38.507622+00:00,AUDJPY,SELL,STD,-13.95,44.1,13.2,RED_DARK,SELL,17,HOLD,0,The read operation timed out,DIFF
2026-06-08T22:01:46.532158+00:00,EURAUD,BUY,STD,18.2,19.2,27.5,GREEN_DARK,BUY,18,HOLD,0,The read operation timed out,DIFF
2026-06-08T22:15:34.641752+00:00,CADJPY,SELL,STD,-3.33,30.9,18.2,RED_LIGHT,SELL,17,SELL,48,"Histogram RED_LIGHT e Momentum negativo indicano pressione ribassista, ma ADX moderato e RV non estremo indicano tendenza non forte mentre ADR% basso lascia spazio, quindi l'idea è leggermente ribassista ma ambigua.",SAME
2026-06-08T22:15:48.833926+00:00,GBPCHF,BUY,STD,7.09,39.6,26.4,GREEN_LIGHT,BUY,20,HOLD,42,"Segnali discordanti: Histogram è GREEN_LIGHT ma Normalized Momentum è negativa e l'ADX non è forte, con RV modesto e ADR ancora ampio, quindi la configurazione è ambigua.",DIFF
2026-06-08T22:15:57.600599+00:00,NZDCHF,BUY,STD,8.38,31.9,15.2,GREEN_LIGHT,BUY,20,HOLD,0,Expecting value: line 1 column 1 (char 0),DIFF
2026-06-08T22:16:01.446249+00:00,CHFJPY,SELL,STD,-7.36,33.5,17.6,RED_LIGHT,SELL,17,SELL,62,"La Histogram RED_LIGHT e Momentum negativo indicano pressione ribassista, ma ADX 33.5 e RV -7.36 mostrano un trend non molto forte e ADR% 17.6% lascia spazio di movimento, quindi SELL con confidenza moderata.",SAME
2026-06-08T22:16:10.628846+00:00,EURCAD,BUY,STD,8.28,27.8,32.8,GREEN_LIGHT,BUY,20,HOLD,42,"Segnale incongruente: l'istogramma è GREEN_LIGHT (rialzista) ma il Normalized Momentum è negativo, l'ADX è moderato e non forte, RV non è estremo e ADR% ha spazio; la tendenza su M15 non è chiara.",DIFF
2026-06-08T22:16:15.561130+00:00,NZDCAD,BUY,STD,4.35,32.3,16.0,GREEN_LIGHT,BUY,20,HOLD,45,"Segnale misto: Radar Value debole/moderato, ADX 32.3 non conferma una tendenza forte, Momentum negativo contrasta l'HISTOGRAM GREEN_LIGHT e ADR% basso non indica una spinta direzionale chiara.",DIFF
2026-06-08T22:16:22.815943+00:00,GBPCAD,BUY,STD,3.07,25.7,34.2,GREEN_LIGHT,BUY,20,HOLD,42,"Segnali contrastanti e mancanza di conferma di tendenza forte: RV positivo ma modesto, ADX basso, Momentum negativo e Histogram bullish indicano nessuna chiara direzione.",DIFF
2026-06-08T22:16:30.244280+00:00,EURCHF,BUY,STD,12.3,26.5,17.8,GREEN_LIGHT,BUY,20,BUY,65,"Momentum positivo e Histogram verde indicano impulso rialzista moderato; ADR% non esausto offre spazio per movimenti, ma RV non estremo e ADX moderato indicano una tendenza non molto forte, quindi BUY con confidenza moderata.",SAME
2026-06-08T22:16:42.352538+00:00,GBPAUD,BUY,STD,13.03,28.5,28.3,GREEN_LIGHT,BUY,20,BUY,65,"Momentum positivo (Normalized Momentum 0.3616) e Histogram GREEN_LIGHT indicano impulso rialzista, ADR% a 28.3% lascia spazio per ulteriori estensioni, ma RV modesto e ADX 28.5 indicano una tendenza non ancora robusta.",SAME
2026-06-08T22:16:50.039030+00:00,EURAUD,BUY,STD,18.24,19.5,27.5,GREEN_LIGHT,BUY,18,HOLD,42,"Il momentum è positivo e l'istogramma è verde, suggerendo potenziale rialzo, ma ADX <20 e RV modesto indicano una tendenza debole e potenziale range, quindi manteniamo HOLD.",DIFF
2026-06-08T22:16:58.244716+00:00,AUDNZD,SELL,STD,-14.31,26.3,21.8,RED_DARK,SELL,17,SELL,60,"La pressione ribassista è indicata da Histogram RED_DARK e Momentum negativo, ma RV non è estremo e l'ADX a 26,3 suggeriscono un trend non fortissimo, quindi conferma SELL con confidenza moderata.",SAME
2026-06-08T22:17:07.169507+00:00,AUDJPY,SELL,STD,-13.29,41.3,14.5,RED_DARK,SELL,17,SELL,82,"Conferma forte di tendenza ribassista: ADX 41.3, Momentum negativo (-0.9054), Histogram RED_DARK e RV negativo indicano pressione di vendita; ADR% basso (14.5%) offre spazio al ribasso senza contraddizioni.",SAME
2026-06-08T22:30:33.046638+00:00,CADJPY,SELL,STD,-4.96,29.8,18.2,RED_LIGHT,SELL,17,HOLD,45,"Histogram RED_LIGHT e momentum negativo suggeriscono ribasso, ma RV modesto e ADX 29.8 indicano mancanza di tendenza forte, quindi trade non chiaro e confidenza bassa.",DIFF
2026-06-08T22:30:36.998025+00:00,GBPCHF,BUY,STD,8.26,37.7,26.4,GREEN_LIGHT,BUY,20,HOLD,45,"Segnali contrastanti: Histogram GREEN_LIGHT (rialzista) ma Momentum normalizzato negativo e RV modesto, con ADX non forte; quindi non c'è conferma di una tendenza robusta.",DIFF
2026-06-08T22:30:43.013060+00:00,NZDCHF,BUY,STD,8.8,29.2,15.2,GREEN_LIGHT,BUY,20,HOLD,40,"ADX modesto e Radar debole indicano mancanza di impulso, il momentum è negativo mentre l’istogramma segnala rialzo e ADR è molto basso: mancano evidenze chiare di una svolta, quindi HOLD.",DIFF
2026-06-08T22:30:52.729252+00:00,CHFJPY,SELL,STD,-8.27,30.5,17.6,RED_LIGHT,SELL,17,SELL,70,"La combinazione di Radar Value negativo, Histogram RED_LIGHT e Momentum negativo indica pressione ribassista, l'ADX moderato (30.5) conferma una tendenza presente ma non estremamente forte, e l'ADR% al 17.6% lascia spazio al movimento, quindi SELL è giustificato con fiducia moderata.",SAME
2026-06-08T22:31:01.382932+00:00,NZDCAD,BUY,STD,5.49,29.5,16.0,GREEN_LIGHT,BUY,20,HOLD,45,"Segnali inconcludenti: RV modesto e ADX 29.5 indicano trend debole, Momentum negativo contrasta con Histogram verde e ADR al 16% offre spazio senza confermare direzione.",DIFF
2026-06-08T22:31:09.005957+00:00,EURCAD,BUY,STD,9.99,25.9,32.8,GREEN_LIGHT,BUY,20,HOLD,45,"Histogram GREEN_LIGHT e ADR% indicano spazio e potenziale impulso rialzista, ma Momentum negativo (-0.147), ADX moderato (25.9) e RV non estremo indicano incertezza.",DIFF
2026-06-08T22:31:18.947229+00:00,GBPCAD,BUY,STD,4.95,23.2,34.2,GREEN_LIGHT,BUY,20,HOLD,42,"L'istogramma è GREEN_LIGHT ma Momentum Normalized negativo, l'ADX è debole e il Radar non è in zona estrema, quindi la configurazione è ambigua e la conferma di BUY manca.",DIFF
2026-06-08T22:31:23.247438+00:00,EURCHF,BUY,STD,13.31,23.1,17.8,GREEN_LIGHT,BUY,20,BUY,55,"Momentum positivo (Histogram GREEN_LIGHT e Normalized Momentum +0.1401) supporta una mossa rialzista, ma ADX 23.1 e RV 13.31 indicano trend moderato e ADR% 17.8% limita i movimenti; segnale BUY di forza moderata.",SAME
2026-06-08T22:31:33.838681+00:00,AUDNZD,SELL,STD,-14.65,24.7,24.4,RED_LIGHT,SELL,17,SELL,45,"RV negativo ma non estremo (-14.65) e Histogram/Normalized Momentum indicano pressione ribassista a breve, ma ADX a 24.7 indica trend debole e ADR% non esausto, quindi configurazione moderatamente bearish e non estremamente chiara.",SAME
2026-06-08T22:31:40.961690+00:00,EURAUD,BUY,STD,18.78,21.4,30.0,GREEN_LIGHT,BUY,20,BUY,60,"Momentum positivo (Normalized Momentum 0.547) e Histogram GREEN_LIGHT con ADR al 30% indicano spazio per muoversi al rialzo, ma ADX debole e RV non estremo suggeriscono una conferma moderata.",SAME
2026-06-08T22:31:51.266184+00:00,GBPAUD,BUY,STD,13.73,24.9,29.3,GREEN_LIGHT,BUY,20,BUY,62,"Momentum positivo (Histogram GREEN_LIGHT e Normalized Momentum >0) in un contesto non di trend molto forte (RV 13.73, ADX 24.9) ma con ADR% a 29.3% che lascia spazio al movimento; quindi potenziale trade rialzista con conferma moderata.",SAME
2026-06-08T22:45:32.974519+00:00,CADJPY,SELL,STD,-5.0,28.9,18.2,RED_LIGHT,SELL,17,HOLD,45,"La pressione ribassista indicata da RED_LIGHT e Momentum negativo esiste, ma l'ADX non conferma una tendenza forte e il Radar Value è modesto (-5.0), mentre ADR% basso suggerisce spazio ma non una direzione consolidata.",DIFF
2026-06-08T22:45:39.030156+00:00,GBPCHF,BUY,STD,8.59,36.0,26.4,GREEN_LIGHT,BUY,20,BUY,70,"Momentum positivo (0.0459) e Histogram GREEN_LIGHT indicano pressioni rialziste; ADR% al 26.4% mostra spazio per muoversi, RV positivo e ADX(14)=36 indicano una tendenza in corso ma moderata; BUY con confidenza moderata.",SAME
2026-06-08T22:45:47.492021+00:00,NZDCHF,BUY,STD,7.93,26.9,15.2,GREEN_DARK,BUY,20,HOLD,46,"Segni contrastanti: RV leggermente rialzista e ADR% mostra spazio al movimento, ma Momentum normalizzato negativo e ADX modesto non danno conferma di una tendenza chiara.",DIFF
